DATETIME,TANGARA_DD66,TANGARA_25CE,TANGARA_260A,TANGARA_4B1A,TANGARA_65F2,TANGARA_1282,TANGARA_14D6,TANGARA_1A1E,TANGARA_1EE6,TANGARA_2492,TANGARA_2822,TANGARA_2E9A,TANGARA_307A,TANGARA_3782_x,TANGARA_3782_y,TANGARA_F212,TANGARA_1712,TANGARA_48C6,TANGARA_F1AE,TANGARA_06BE
2023-05-31T13:00:30-05:00,11.0,,,13.0,24.0,11.0,,21.0,6.0,,,,17.0,,,22.0,16.0,0.0,,
2023-05-31T13:01:00-05:00,11.0,,,14.0,25.0,,,26.0,4.0,,,,,,,19.0,20.0,0.0,,
2023-05-31T13:01:30-05:00,11.0,,,16.0,24.0,,,26.0,4.0,,,,17.0,,,17.0,21.0,,,
2023-05-31T13:02:00-05:00,11.0,,,15.0,25.0,,,26.0,4.0,,,,16.0,,,18.0,22.0,,,
2023-05-31T13:02:30-05:00,11.0,,,15.0,23.0,,,26.0,5.0,,,,17.0,,,17.0,21.0,,,
2023-05-31T13:03:00-05:00,11.0,,,15.0,24.0,,,28.0,5.0,,,,17.0,,,18.0,22.0,,,
2023-05-31T13:03:30-05:00,11.0,,,13.0,25.0,,,27.0,,,,,17.0,,,17.0,21.0,,,
2023-05-31T13:04:00-05:00,11.0,,,15.0,24.0,,,28.0,5.0,,,,,,,18.0,21.0,,,
2023-05-31T13:04:30-05:00,11.0,,,14.0,25.0,,,28.0,5.0,,,,18.0,,,18.0,22.0,,,
2023-05-31T13:05:00-05:00,11.0,,,13.0,25.0,,,,5.0,,,,17.0,,,18.0,21.0,,,
2023-05-31T13:05:30-05:00,11.0,,,14.0,25.0,,,28.0,5.0,,,,17.0,,,19.0,21.0,,,
2023-05-31T13:06:00-05:00,11.0,,,14.0,23.0,,,27.0,6.0,,,,18.0,,,19.0,20.0,,,
2023-05-31T13:06:30-05:00,11.0,,,13.0,24.0,,,28.0,5.0,,,,18.0,,,20.0,21.0,,,
2023-05-31T13:07:00-05:00,11.0,,,14.0,25.0,,,27.0,4.0,,,,17.0,,,21.0,30.0,,,
2023-05-31T13:07:30-05:00,11.0,,,14.0,24.0,,,27.0,5.0,,,,,,,21.0,26.0,,,
2023-05-31T13:08:00-05:00,11.0,,,14.0,25.0,,,27.0,4.0,,,,19.0,,,20.0,24.0,,,
2023-05-31T13:08:30-05:00,11.0,,,15.0,25.0,,,27.0,4.0,,,,21.0,,,21.0,21.0,,,
2023-05-31T13:09:00-05:00,11.0,,,13.0,26.0,,,25.0,5.0,,,,20.0,,,19.0,21.0,,,
2023-05-31T13:09:30-05:00,11.0,,,11.0,27.0,,,24.0,5.0,,,,,,,19.0,21.0,,,
2023-05-31T13:10:00-05:00,11.0,,,13.0,26.0,,,24.0,4.0,,,,19.0,,,22.0,20.0,,,
2023-05-31T13:10:30-05:00,11.0,,,13.0,25.0,,,24.0,3.0,,,,19.0,,,22.0,21.0,,,
2023-05-31T13:11:00-05:00,11.0,,,12.0,27.0,,,28.0,4.0,,,,18.0,,,21.0,20.0,,,
2023-05-31T13:11:30-05:00,11.0,,,13.0,29.0,,,26.0,3.0,,,,,,,20.0,21.0,,,
2023-05-31T13:12:00-05:00,11.0,,,12.0,27.0,,,25.0,2.0,,,,19.0,,,20.0,20.0,,,
2023-05-31T13:12:30-05:00,11.0,,,12.0,29.0,,,23.0,3.0,,,,18.0,,,20.0,22.0,,,
2023-05-31T13:13:00-05:00,11.0,,,11.0,28.0,,,24.0,3.0,,,,,,,21.0,21.0,,,
2023-05-31T13:13:30-05:00,11.0,,,12.0,28.0,,,24.0,3.0,,,,17.0,,,22.0,22.0,,,
2023-05-31T13:14:00-05:00,11.0,,,13.0,30.0,,,26.0,3.0,,,,,,,22.0,21.0,,,
2023-05-31T13:14:30-05:00,11.0,,,13.0,28.0,,,24.0,3.0,,,,17.0,,,22.0,22.0,,,
2023-05-31T13:15:00-05:00,11.0,,,13.0,29.0,,,24.0,3.0,,,,,,,20.0,21.0,,,
2023-05-31T13:15:30-05:00,11.0,,,13.0,27.0,,,26.0,3.0,,,,17.0,,,20.0,19.0,,,
2023-05-31T13:16:00-05:00,11.0,,,13.0,29.0,,,25.0,3.0,,,,17.0,,,20.0,19.0,,,
2023-05-31T13:16:30-05:00,11.0,,,13.0,28.0,,,25.0,3.0,,,,17.0,,,20.0,20.0,,,
2023-05-31T13:17:00-05:00,11.0,,,14.0,28.0,,,26.0,2.0,,,,17.0,,,21.0,20.0,,,
2023-05-31T13:17:30-05:00,11.0,,,13.0,29.0,,,27.0,2.0,,,,17.0,,,21.0,19.0,,,
2023-05-31T13:18:00-05:00,11.0,,,13.0,28.0,,,27.0,3.0,,,,,,,20.0,19.0,,,
2023-05-31T13:18:30-05:00,11.0,,,12.0,27.0,,,28.0,3.0,,,,18.0,,,20.0,18.0,,,
2023-05-31T13:19:00-05:00,11.0,,,14.0,27.0,,,26.0,3.0,,,,18.0,,,20.0,20.0,,,
2023-05-31T13:19:30-05:00,11.0,,,14.0,28.0,,,27.0,3.0,,,,16.0,,,21.0,20.0,,,
2023-05-31T13:20:00-05:00,11.0,,,14.0,30.0,,,26.0,3.0,,,,17.0,,,20.0,21.0,,,
2023-05-31T13:20:30-05:00,11.0,,,13.0,30.0,,,26.0,3.0,,,4.0,17.0,,,20.0,19.0,,,
2023-05-31T13:21:00-05:00,11.0,,,13.0,28.0,,,27.0,3.0,,,2.0,,,,21.0,20.0,,,
2023-05-31T13:21:30-05:00,11.0,,,12.0,28.0,,,28.0,2.0,,,3.0,18.0,,,20.0,19.0,,,
2023-05-31T13:22:00-05:00,11.0,,,12.0,29.0,,,,2.0,,,3.0,,,,20.0,19.0,,,
2023-05-31T13:22:30-05:00,11.0,,,14.0,28.0,,,,2.0,,,3.0,18.0,,,19.0,18.0,,,
2023-05-31T13:23:00-05:00,11.0,,,13.0,28.0,,,28.0,2.0,,,4.0,,,,20.0,18.0,,,
2023-05-31T13:23:30-05:00,11.0,,,13.0,29.0,,,26.0,3.0,,,3.0,17.0,,,19.0,18.0,,,
2023-05-31T13:24:00-05:00,11.0,,,14.0,29.0,,,26.0,2.0,5.0,,3.0,17.0,,,21.0,19.0,,,
2023-05-31T13:25:00-05:00,11.0,,,13.0,28.0,11.0,,24.0,2.0,6.0,,2.0,18.0,,,21.0,20.0,,,
2023-05-31T13:25:30-05:00,11.0,,,13.0,29.0,,,24.0,3.0,6.0,,2.0,18.0,,,20.0,19.0,,,
2023-05-31T13:26:00-05:00,11.0,,,13.0,29.0,,,24.0,3.0,5.0,,2.0,19.0,,,21.0,19.0,,,
2023-05-31T13:26:30-05:00,11.0,,,13.0,29.0,,,25.0,2.0,8.0,,3.0,19.0,,,19.0,18.0,,,
2023-05-31T13:27:00-05:00,11.0,,,13.0,27.0,,,26.0,3.0,8.0,,2.0,18.0,,,21.0,19.0,,,
2023-05-31T13:27:30-05:00,11.0,,,13.0,27.0,,,24.0,3.0,8.0,,3.0,,,,20.0,20.0,,,
2023-05-31T13:28:00-05:00,11.0,,,14.0,29.0,,,24.0,2.0,,,3.0,18.0,,,18.0,19.0,,,
2023-05-31T13:28:30-05:00,11.0,,,14.0,27.0,,,26.0,2.0,7.0,,2.0,18.0,,,21.0,21.0,,,
2023-05-31T13:29:00-05:00,11.0,,,14.0,26.0,,,25.0,2.0,6.0,,2.0,,,,20.0,19.0,,,
2023-05-31T13:29:30-05:00,11.0,,,13.0,26.0,11.0,,23.0,2.0,6.0,,3.0,19.0,,,21.0,20.0,,,
2023-05-31T13:30:00-05:00,11.0,,,13.0,26.0,,,24.0,3.0,5.0,,3.0,19.0,,,18.0,20.0,,,
2023-05-31T13:30:30-05:00,11.0,,,14.0,26.0,,,24.0,3.0,5.0,6.0,3.0,19.0,,,19.0,21.0,,,
2023-05-31T13:31:00-05:00,11.0,,,13.0,25.0,,,26.0,2.0,5.0,5.0,3.0,,,,19.0,20.0,,,
2023-05-31T13:31:30-05:00,11.0,,,13.0,28.0,,9.0,24.0,3.0,5.0,5.0,3.0,18.0,,,22.0,20.0,,,
2023-05-31T13:32:00-05:00,11.0,,,13.0,27.0,,,24.0,3.0,5.0,4.0,3.0,18.0,,,20.0,20.0,,,
2023-05-31T13:32:30-05:00,11.0,,,14.0,27.0,,,25.0,2.0,4.0,4.0,3.0,,,,19.0,19.0,,,
2023-05-31T13:33:00-05:00,11.0,,,15.0,28.0,,,24.0,3.0,3.0,4.0,,18.0,,,19.0,20.0,,,
2023-05-31T13:33:30-05:00,11.0,,,15.0,29.0,,,24.0,3.0,4.0,4.0,3.0,19.0,,,19.0,20.0,,,
2023-05-31T13:34:00-05:00,11.0,,,14.0,30.0,11.0,,24.0,2.0,4.0,7.0,3.0,,,,22.0,20.0,,,
2023-05-31T13:34:30-05:00,11.0,,,14.0,29.0,11.0,9.0,24.0,3.0,4.0,5.0,3.0,19.0,,,22.0,21.0,,,
2023-05-31T13:35:00-05:00,11.0,,,14.0,29.0,,9.0,25.0,3.0,4.0,5.0,3.0,,,,21.0,20.0,,,
2023-05-31T13:35:30-05:00,11.0,,,14.0,30.0,,9.0,25.0,3.0,5.0,7.0,4.0,19.0,,,22.0,21.0,,,
2023-05-31T13:36:00-05:00,11.0,,,13.0,31.0,,8.0,24.0,3.0,5.0,,3.0,19.0,,,21.0,21.0,,9.0,
2023-05-31T13:36:30-05:00,11.0,,,13.0,31.0,,8.0,24.0,3.0,5.0,7.0,2.0,18.0,,,22.0,21.0,,,
2023-05-31T13:37:00-05:00,11.0,,,15.0,30.0,11.0,9.0,24.0,4.0,5.0,6.0,,18.0,,,21.0,21.0,,8.0,
2023-05-31T13:37:30-05:00,11.0,,,13.0,30.0,9.0,9.0,24.0,3.0,4.0,4.0,,19.0,,,20.0,23.0,,7.0,
2023-05-31T13:38:00-05:00,11.0,,,13.0,30.0,9.0,8.0,23.0,3.0,3.0,4.0,3.0,19.0,,,20.0,22.0,,9.0,
2023-05-31T13:38:30-05:00,11.0,,,11.0,31.0,11.0,9.0,24.0,3.0,4.0,4.0,4.0,19.0,,,20.0,22.0,,,
2023-05-31T13:39:00-05:00,11.0,,,13.0,30.0,10.0,8.0,24.0,2.0,3.0,4.0,,18.0,,,22.0,22.0,,,
2023-05-31T13:39:30-05:00,11.0,,,14.0,29.0,,8.0,24.0,3.0,3.0,4.0,4.0,18.0,,,21.0,23.0,,,
2023-05-31T13:40:00-05:00,11.0,,,13.0,29.0,,8.0,24.0,3.0,3.0,4.0,4.0,19.0,,,22.0,24.0,,7.0,
2023-05-31T13:40:30-05:00,11.0,,,13.0,29.0,,8.0,24.0,3.0,4.0,3.0,,20.0,,,21.0,23.0,,8.0,
2023-05-31T13:41:00-05:00,11.0,,,13.0,29.0,10.0,7.0,22.0,3.0,3.0,3.0,,21.0,,,22.0,21.0,,8.0,
2023-05-31T13:41:30-05:00,11.0,,9.0,15.0,29.0,8.0,6.0,23.0,3.0,3.0,3.0,,20.0,,,23.0,22.0,,9.0,
2023-05-31T13:42:00-05:00,11.0,,9.0,12.0,30.0,9.0,6.0,24.0,3.0,4.0,4.0,,18.0,,,21.0,23.0,,8.0,
2023-05-31T13:42:30-05:00,11.0,,,13.0,31.0,7.0,7.0,23.0,3.0,4.0,3.0,4.0,18.0,,,21.0,23.0,,7.0,
2023-05-31T13:43:00-05:00,11.0,,9.0,13.0,30.0,6.0,6.0,23.0,2.0,3.0,3.0,4.0,20.0,,,20.0,22.0,,7.0,
2023-05-31T13:43:30-05:00,11.0,,8.0,14.0,28.0,6.0,6.0,23.0,3.0,3.0,4.0,3.0,21.0,,,20.0,21.0,,,
2023-05-31T13:44:00-05:00,11.0,,9.0,14.0,28.0,6.0,6.0,23.0,3.0,3.0,6.0,4.0,21.0,,,20.0,21.0,,,
2023-05-31T13:44:30-05:00,11.0,,9.0,14.0,28.0,7.0,7.0,23.0,3.0,3.0,5.0,3.0,20.0,,,20.0,21.0,,8.0,
2023-05-31T13:45:00-05:00,11.0,,9.0,13.0,29.0,7.0,7.0,22.0,3.0,3.0,4.0,3.0,19.0,,,20.0,21.0,,6.0,
2023-05-31T13:45:30-05:00,11.0,,9.0,12.0,27.0,7.0,7.0,24.0,3.0,3.0,3.0,3.0,21.0,,,20.0,21.0,,5.0,
2023-05-31T13:46:00-05:00,11.0,,9.0,11.0,28.0,8.0,8.0,23.0,3.0,3.0,3.0,4.0,19.0,,,19.0,21.0,,6.0,
2023-05-31T13:46:30-05:00,11.0,,9.0,11.0,28.0,8.0,8.0,22.0,3.0,3.0,4.0,4.0,21.0,,,19.0,21.0,,7.0,
2023-05-31T13:47:00-05:00,11.0,,9.0,11.0,29.0,7.0,,22.0,3.0,3.0,4.0,3.0,21.0,,,19.0,21.0,,5.0,
2023-05-31T13:47:30-05:00,11.0,,8.0,11.0,28.0,6.0,9.0,23.0,3.0,3.0,5.0,3.0,19.0,,,19.0,21.0,,6.0,
2023-05-31T13:48:00-05:00,11.0,,9.0,,28.0,5.0,8.0,23.0,3.0,3.0,4.0,4.0,20.0,,,19.0,22.0,,6.0,
2023-05-31T13:48:30-05:00,11.0,,8.0,11.0,27.0,5.0,9.0,21.0,3.0,3.0,5.0,,20.0,,,20.0,20.0,,5.0,
2023-05-31T13:49:00-05:00,11.0,,9.0,12.0,,5.0,8.0,23.0,3.0,3.0,4.0,4.0,21.0,,,19.0,21.0,,,
2023-05-31T13:49:30-05:00,11.0,,8.0,11.0,26.0,6.0,8.0,23.0,3.0,3.0,4.0,3.0,20.0,,,20.0,20.0,,7.0,
2023-05-31T13:50:00-05:00,11.0,,9.0,11.0,28.0,6.0,8.0,23.0,2.0,2.0,4.0,3.0,19.0,,,20.0,22.0,,6.0,
2023-05-31T13:50:30-05:00,11.0,,8.0,11.0,26.0,7.0,,24.0,3.0,3.0,4.0,4.0,20.0,,,20.0,23.0,,6.0,
2023-05-31T13:51:00-05:00,11.0,,7.0,11.0,27.0,8.0,8.0,23.0,3.0,3.0,4.0,4.0,21.0,,,20.0,22.0,,7.0,
2023-05-31T13:51:30-05:00,11.0,,7.0,11.0,27.0,9.0,8.0,21.0,3.0,3.0,4.0,3.0,20.0,,,18.0,22.0,,6.0,
2023-05-31T13:52:00-05:00,11.0,,7.0,11.0,26.0,10.0,8.0,22.0,3.0,3.0,4.0,3.0,20.0,,,21.0,22.0,,6.0,
2023-05-31T13:52:30-05:00,11.0,9.0,7.0,11.0,27.0,10.0,8.0,24.0,3.0,3.0,4.0,3.0,19.0,,,19.0,21.0,,4.0,
2023-05-31T13:53:00-05:00,11.0,9.0,8.0,11.0,27.0,10.0,9.0,23.0,3.0,3.0,5.0,3.0,19.0,,,19.0,21.0,,4.0,
2023-05-31T13:53:30-05:00,11.0,9.0,8.0,11.0,25.0,9.0,8.0,23.0,3.0,3.0,5.0,3.0,19.0,,,18.0,20.0,,5.0,
2023-05-31T13:54:00-05:00,11.0,8.0,7.0,11.0,27.0,8.0,8.0,23.0,3.0,3.0,4.0,2.0,19.0,,,19.0,20.0,,5.0,
2023-05-31T13:54:30-05:00,11.0,9.0,8.0,11.0,25.0,10.0,7.0,23.0,3.0,2.0,4.0,3.0,20.0,,,21.0,21.0,,6.0,
2023-05-31T13:55:00-05:00,11.0,7.0,7.0,12.0,28.0,,7.0,22.0,3.0,3.0,4.0,3.0,20.0,,,21.0,21.0,,6.0,
2023-05-31T13:55:30-05:00,11.0,7.0,8.0,10.0,28.0,,6.0,23.0,3.0,3.0,4.0,4.0,21.0,,,19.0,23.0,,5.0,
2023-05-31T13:56:00-05:00,11.0,9.0,8.0,12.0,29.0,,6.0,23.0,3.0,2.0,4.0,3.0,21.0,,,19.0,24.0,6.0,6.0,
2023-05-31T13:56:30-05:00,11.0,8.0,7.0,11.0,29.0,11.0,6.0,22.0,3.0,2.0,4.0,3.0,20.0,,,20.0,21.0,7.0,,
2023-05-31T13:57:00-05:00,11.0,7.0,6.0,12.0,28.0,11.0,6.0,22.0,3.0,3.0,4.0,4.0,20.0,,,19.0,23.0,7.0,5.0,
2023-05-31T13:57:30-05:00,11.0,6.0,6.0,10.0,28.0,,5.0,24.0,3.0,3.0,3.0,3.0,20.0,,,21.0,21.0,,4.0,
2023-05-31T13:58:00-05:00,11.0,6.0,6.0,11.0,27.0,11.0,5.0,23.0,3.0,3.0,4.0,3.0,20.0,,,20.0,23.0,,4.0,
2023-05-31T13:58:30-05:00,11.0,6.0,7.0,12.0,28.0,10.0,5.0,22.0,3.0,3.0,4.0,3.0,21.0,,,20.0,22.0,,4.0,
2023-05-31T13:59:00-05:00,11.0,6.0,6.0,10.0,28.0,10.0,4.0,24.0,3.0,2.0,3.0,,20.0,,,19.0,22.0,,5.0,
2023-05-31T13:59:30-05:00,11.0,7.0,7.0,10.0,31.0,11.0,5.0,23.0,3.0,3.0,3.0,,20.0,,,22.0,22.0,,5.0,
2023-05-31T14:00:00-05:00,11.0,5.0,7.0,10.0,30.0,11.0,5.0,24.0,3.0,3.0,3.0,4.0,20.0,,,20.0,22.0,,6.0,
2023-05-31T14:00:30-05:00,11.0,5.0,8.0,10.0,31.0,,5.0,24.0,3.0,3.0,3.0,4.0,20.0,,,20.0,22.0,,5.0,
2023-05-31T14:01:00-05:00,11.0,4.0,7.0,10.0,29.0,,6.0,24.0,2.0,3.0,4.0,3.0,21.0,,,21.0,22.0,,5.0,
2023-05-31T14:01:30-05:00,11.0,3.0,8.0,11.0,28.0,11.0,5.0,22.0,3.0,2.0,3.0,3.0,22.0,,,22.0,22.0,,5.0,
2023-05-31T14:02:00-05:00,11.0,3.0,8.0,10.0,28.0,11.0,5.0,23.0,3.0,3.0,,3.0,21.0,,,20.0,20.0,,5.0,
2023-05-31T14:02:30-05:00,11.0,3.0,9.0,9.0,28.0,10.0,6.0,24.0,3.0,3.0,,4.0,23.0,,,20.0,22.0,,5.0,
2023-05-31T14:03:00-05:00,11.0,3.0,8.0,10.0,29.0,9.0,7.0,24.0,3.0,3.0,7.0,4.0,23.0,,,19.0,22.0,,5.0,
2023-05-31T14:03:30-05:00,11.0,3.0,9.0,10.0,29.0,8.0,6.0,23.0,3.0,3.0,5.0,,21.0,,,21.0,22.0,,4.0,
2023-05-31T14:04:00-05:00,11.0,3.0,9.0,10.0,28.0,9.0,6.0,25.0,3.0,3.0,5.0,4.0,23.0,,,20.0,21.0,7.0,4.0,
2023-05-31T14:04:30-05:00,11.0,3.0,9.0,11.0,28.0,9.0,5.0,23.0,3.0,3.0,6.0,4.0,22.0,,,22.0,19.0,7.0,5.0,
2023-05-31T14:05:00-05:00,11.0,3.0,,11.0,29.0,9.0,5.0,24.0,3.0,3.0,5.0,4.0,22.0,,,23.0,20.0,6.0,5.0,
2023-05-31T14:05:30-05:00,11.0,3.0,,11.0,29.0,7.0,5.0,23.0,3.0,3.0,4.0,3.0,21.0,,,22.0,20.0,,5.0,
2023-05-31T14:06:00-05:00,11.0,3.0,,11.0,31.0,8.0,5.0,24.0,3.0,3.0,4.0,3.0,22.0,,,22.0,20.0,5.0,5.0,
2023-05-31T14:06:30-05:00,11.0,8.0,,11.0,32.0,9.0,5.0,23.0,3.0,3.0,3.0,4.0,22.0,,,23.0,21.0,,5.0,4.0
2023-05-31T14:07:00-05:00,11.0,5.0,,11.0,29.0,9.0,7.0,23.0,3.0,3.0,3.0,4.0,22.0,,,22.0,21.0,,5.0,
2023-05-31T14:07:30-05:00,11.0,4.0,,11.0,30.0,9.0,6.0,23.0,3.0,3.0,3.0,3.0,25.0,,,23.0,21.0,7.0,6.0,4.0
2023-05-31T14:08:00-05:00,11.0,4.0,,11.0,31.0,8.0,7.0,22.0,3.0,2.0,3.0,2.0,24.0,,,21.0,22.0,6.0,5.0,
2023-05-31T14:08:30-05:00,11.0,4.0,,10.0,31.0,9.0,7.0,23.0,2.0,2.0,4.0,3.0,23.0,,,23.0,23.0,5.0,5.0,4.0
2023-05-31T14:09:00-05:00,11.0,3.0,,11.0,,8.0,7.0,23.0,3.0,3.0,4.0,4.0,23.0,,,23.0,24.0,7.0,5.0,4.0
2023-05-31T14:09:30-05:00,11.0,3.0,,10.0,31.0,8.0,7.0,22.0,3.0,3.0,4.0,3.0,24.0,,,22.0,24.0,7.0,6.0,3.0
2023-05-31T14:10:00-05:00,11.0,3.0,,11.0,32.0,8.0,6.0,22.0,3.0,3.0,4.0,,24.0,,,22.0,23.0,,5.0,4.0
2023-05-31T14:10:30-05:00,11.0,4.0,,11.0,32.0,9.0,6.0,23.0,3.0,2.0,4.0,,24.0,,,22.0,24.0,,4.0,3.0
2023-05-31T14:11:00-05:00,11.0,3.0,,11.0,31.0,9.0,6.0,23.0,3.0,3.0,3.0,4.0,24.0,,,21.0,24.0,,5.0,3.0
2023-05-31T14:11:30-05:00,11.0,3.0,,12.0,31.0,9.0,5.0,22.0,2.0,2.0,4.0,4.0,23.0,,,22.0,24.0,,5.0,3.0
2023-05-31T14:12:00-05:00,11.0,3.0,,10.0,32.0,9.0,5.0,21.0,3.0,2.0,3.0,4.0,24.0,,,21.0,24.0,,5.0,3.0
2023-05-31T14:12:30-05:00,11.0,3.0,,10.0,30.0,9.0,6.0,25.0,2.0,2.0,3.0,,24.0,,,22.0,24.0,,6.0,2.0
2023-05-31T14:13:00-05:00,11.0,3.0,,11.0,30.0,7.0,5.0,23.0,3.0,2.0,3.0,3.0,24.0,,,22.0,25.0,,5.0,3.0
2023-05-31T14:13:30-05:00,11.0,3.0,,11.0,31.0,7.0,5.0,20.0,2.0,2.0,5.0,3.0,24.0,,,21.0,24.0,,7.0,3.0
2023-05-31T14:14:00-05:00,11.0,3.0,,10.0,31.0,7.0,6.0,20.0,3.0,2.0,4.0,3.0,24.0,,,22.0,26.0,,7.0,3.0
2023-05-31T14:15:00-05:00,11.0,3.0,9.0,10.0,30.0,7.0,6.0,21.0,3.0,2.0,3.0,4.0,24.0,,,20.0,25.0,,6.0,3.0
2023-05-31T14:15:30-05:00,11.0,3.0,9.0,11.0,29.0,7.0,6.0,20.0,2.0,1.0,3.0,,24.0,,,21.0,24.0,6.0,4.0,3.0
2023-05-31T14:16:00-05:00,11.0,2.0,9.0,10.0,30.0,8.0,6.0,22.0,3.0,1.0,3.0,,23.0,,,22.0,25.0,5.0,4.0,3.0
2023-05-31T14:16:30-05:00,11.0,3.0,9.0,10.0,31.0,8.0,6.0,23.0,3.0,1.0,3.0,,22.0,,,21.0,26.0,3.0,4.0,3.0
2023-05-31T14:17:00-05:00,11.0,2.0,9.0,11.0,30.0,8.0,6.0,22.0,2.0,2.0,3.0,4.0,23.0,,,20.0,24.0,3.0,5.0,2.0
2023-05-31T14:17:30-05:00,11.0,2.0,,11.0,29.0,7.0,6.0,21.0,3.0,1.0,3.0,3.0,22.0,,,20.0,24.0,3.0,5.0,2.0
2023-05-31T14:18:00-05:00,11.0,2.0,9.0,10.0,29.0,7.0,6.0,21.0,2.0,1.0,3.0,3.0,24.0,,,21.0,24.0,3.0,6.0,3.0
2023-05-31T14:18:30-05:00,11.0,2.0,9.0,11.0,29.0,6.0,6.0,21.0,3.0,2.0,3.0,3.0,24.0,,,21.0,25.0,5.0,6.0,3.0
2023-05-31T14:19:00-05:00,11.0,3.0,9.0,11.0,27.0,7.0,7.0,20.0,2.0,1.0,3.0,3.0,25.0,,,19.0,26.0,3.0,6.0,3.0
2023-05-31T14:19:30-05:00,11.0,3.0,9.0,11.0,28.0,7.0,6.0,22.0,3.0,1.0,3.0,3.0,23.0,,,19.0,25.0,3.0,6.0,3.0
2023-05-31T14:20:00-05:00,11.0,3.0,7.0,10.0,26.0,7.0,6.0,23.0,3.0,1.0,3.0,3.0,22.0,,,18.0,25.0,3.0,5.0,3.0
2023-05-31T14:20:30-05:00,11.0,3.0,6.0,10.0,26.0,,6.0,21.0,3.0,1.0,3.0,,23.0,,,18.0,23.0,3.0,4.0,3.0
2023-05-31T14:21:00-05:00,11.0,2.0,6.0,10.0,27.0,,7.0,21.0,3.0,2.0,4.0,4.0,23.0,,,18.0,23.0,3.0,5.0,3.0
2023-05-31T14:21:30-05:00,11.0,2.0,6.0,9.0,26.0,11.0,7.0,20.0,3.0,1.0,3.0,3.0,24.0,,,17.0,24.0,2.0,4.0,3.0
2023-05-31T14:22:00-05:00,11.0,2.0,5.0,9.0,26.0,8.0,7.0,20.0,3.0,1.0,3.0,3.0,24.0,,,17.0,24.0,2.0,5.0,3.0
2023-05-31T14:22:30-05:00,11.0,2.0,6.0,9.0,24.0,5.0,7.0,22.0,2.0,2.0,5.0,3.0,23.0,,,17.0,23.0,4.0,5.0,3.0
2023-05-31T14:23:00-05:00,11.0,2.0,7.0,10.0,24.0,6.0,8.0,22.0,3.0,2.0,6.0,2.0,23.0,,,19.0,24.0,2.0,5.0,3.0
2023-05-31T14:23:30-05:00,11.0,2.0,7.0,9.0,25.0,5.0,7.0,21.0,3.0,1.0,6.0,2.0,23.0,,,18.0,23.0,4.0,4.0,3.0
2023-05-31T14:24:00-05:00,11.0,2.0,7.0,9.0,25.0,6.0,8.0,21.0,3.0,1.0,4.0,2.0,23.0,,,17.0,23.0,3.0,5.0,2.0
2023-05-31T14:24:30-05:00,11.0,2.0,7.0,10.0,26.0,4.0,8.0,19.0,3.0,1.0,3.0,2.0,23.0,,,17.0,24.0,3.0,6.0,3.0
2023-05-31T14:25:00-05:00,11.0,2.0,6.0,10.0,26.0,4.0,7.0,20.0,2.0,1.0,3.0,2.0,24.0,,,16.0,25.0,3.0,6.0,3.0
2023-05-31T14:25:30-05:00,11.0,2.0,5.0,10.0,24.0,4.0,8.0,19.0,3.0,1.0,2.0,2.0,23.0,,,17.0,23.0,5.0,5.0,3.0
2023-05-31T14:26:00-05:00,11.0,2.0,6.0,9.0,24.0,6.0,7.0,19.0,3.0,1.0,3.0,2.0,24.0,,,17.0,23.0,3.0,6.0,3.0
2023-05-31T14:26:30-05:00,11.0,2.0,6.0,10.0,24.0,5.0,7.0,21.0,3.0,2.0,4.0,2.0,24.0,,,17.0,25.0,4.0,7.0,2.0
2023-05-31T14:27:00-05:00,11.0,2.0,6.0,9.0,25.0,5.0,7.0,19.0,3.0,2.0,4.0,2.0,24.0,,,17.0,24.0,2.0,6.0,2.0
2023-05-31T14:27:30-05:00,11.0,2.0,6.0,10.0,23.0,5.0,7.0,18.0,3.0,1.0,4.0,2.0,24.0,,,17.0,25.0,3.0,6.0,2.0
2023-05-31T14:28:00-05:00,11.0,2.0,7.0,9.0,24.0,7.0,6.0,15.0,3.0,2.0,3.0,3.0,24.0,,,17.0,25.0,3.0,5.0,3.0
2023-05-31T14:28:30-05:00,11.0,2.0,6.0,9.0,25.0,8.0,6.0,11.0,3.0,1.0,3.0,2.0,23.0,,,16.0,25.0,3.0,6.0,3.0
2023-05-31T14:29:00-05:00,11.0,2.0,6.0,8.0,25.0,7.0,5.0,10.0,3.0,1.0,3.0,2.0,24.0,,,16.0,25.0,3.0,7.0,3.0
2023-05-31T14:29:30-05:00,11.0,2.0,6.0,9.0,25.0,6.0,6.0,10.0,3.0,1.0,3.0,3.0,23.0,,,17.0,25.0,4.0,7.0,2.0
2023-05-31T14:30:00-05:00,11.0,2.0,6.0,9.0,25.0,5.0,6.0,13.0,3.0,1.0,3.0,2.0,22.0,,,18.0,25.0,3.0,7.0,2.0
2023-05-31T14:30:30-05:00,11.0,2.0,6.0,8.0,23.0,5.0,6.0,16.0,3.0,1.0,3.0,2.0,21.0,,,18.0,24.0,4.0,9.0,2.0
2023-05-31T14:31:00-05:00,11.0,2.0,5.0,9.0,23.0,5.0,7.0,17.0,3.0,1.0,3.0,2.0,23.0,,,15.0,25.0,2.0,7.0,2.0
